namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,180243388875.74
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,135949068562
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,133491414825.12
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,252073000
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,251739600
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,58641754597
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,58183914950.68
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,21099998984
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,20542806195
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,2000000000
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,422072000
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,1018980307
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,0
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,174271078410
Kab. Aceh Jaya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,174261078410
Kab. Aceh Jaya,Provinsi Aceh,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,38427921911
Kab. Aceh Jaya,Provinsi Aceh,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,38427924411.14
Kab. Aceh Jaya,Provinsi Aceh,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,1500000000
Kab. Aceh Jaya,Provinsi Aceh,2024,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,12405000000
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,5101347675
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,19240500000
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,12447939273
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,6000000000
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,4154385557
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,217001166593
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,111807684217.38
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1175176288000
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,860792630822
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,18800000000
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Kab. Aceh Selatan,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,50767746552
