namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,418868674567
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,959241036834.16
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,83193051192
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,72100722419
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,7944849811619
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,7437640755844
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,120886373105
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,14752173330
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,67712793358
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,7380832171
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,411125358378
Provinsi Banten,Provinsi Banten,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,325799623403.64
